stock_code,top10_ratio_latest,report_count,top10_ratio_std,long_term_institution_count,institution_count_current,turnover_avg,latest_report_date,data_sufficient,filter_mode
603099,69.5,1,,0.0,4.0,0.0,2025-11-06,False,relaxed
600764,69.44,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300760,69.39999999999999,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
603728,69.29,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605259,69.26,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000600,69.14,1,,0.0,9.0,0.0,2025-09-30,False,relaxed
603639,69.11,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600901,69.05,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
000729,69.0,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688188,68.92999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301292,68.87,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301261,68.74,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601788,68.65,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
688036,68.62,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
688519,68.6,1,,0.0,3.0,0.0,2026-03-16,False,relaxed
301000,68.59,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600132,68.51,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
002498,68.46000000000001,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601226,68.45,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
300723,68.45,1,,0.0,2.0,0.0,2025-12-15,False,relaxed
301153,68.44,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603806,68.36,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
600651,68.14999999999999,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
601100,68.14,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601699,68.1,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
300080,68.08,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600598,68.05,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600027,68.02,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600511,67.98,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
603203,67.97,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002679,67.88,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
